Date,Open,High,Low,Close,Volume,,,,,,,,
06-Oct-22,534.6,541.8,534.6,537.3,"95,07,322",,,,,,,,
07-Oct-22,535.5,535.6,526.55,530.2,"1,10,65,307",,,,,,,,
10-Oct-22,525.7,533.9,522.2,530.75,"96,49,292",,,,,,,,
11-Oct-22,530.75,533.7,525.5,527.4,"1,08,25,440",,,,,,,,
12-Oct-22,530,535,526,533.8,"85,22,604",,,,,,,,
13-Oct-22,533,533.8,520.2,521.45,"1,29,72,765",,,,,,,,
14-Oct-22,530.2,534.85,526,527.2,"85,45,479",,,,,,,,
17-Oct-22,526.4,544.7,524.2,543.65,"1,34,85,349",,,,,,,,
18-Oct-22,547.1,563.5,546.75,562.45,"2,04,40,781",,,,,,,,
19-Oct-22,563,563.45,551.55,553.4,"95,40,583",,,,,,,,
20-Oct-22,552,556.8,545.3,555.4,"1,12,25,588",,,,,,,,
21-Oct-22,557.25,565.8,557.25,560.85,"1,17,67,639",,,,,,,,
24-Oct-22,567,572.5,565.9,570.5,"36,92,065",,,,,,,,
25-Oct-22,572.5,586.2,568,578.55,"1,98,99,324",,,,,,,,
27-Oct-22,583.95,585,577.6,579.65,"1,36,13,533",,,,,,,,
28-Oct-22,579.95,582.65,567,570.75,"1,00,43,644",,,,,,,,
31-Oct-22,574.95,577.45,568.4,573.8,"98,94,639",,,,,,,,
01-Nov-22,576.35,585.75,574.6,576.9,"1,20,69,579",,,,,,,,
02-Nov-22,575.9,578.95,569.9,573.85,"1,02,41,440",,,,,,,,
03-Nov-22,569,587.95,568,584.9,"1,75,57,998",,,,,,,,
04-Nov-22,586,596.95,580.4,593.95,"2,57,59,031",,,,,,,,
07-Nov-22,613,622.7,607.7,614.15,"4,42,65,903",,,,,,,,
09-Nov-22,621,621,610.55,615.55,"1,89,39,854",,,,,,,,
10-Nov-22,613.1,615.1,602.2,605.75,"1,16,18,405",,,,,,,,
11-Nov-22,617.25,619.55,598.5,601.3,"1,55,25,267",,,,,,,,
14-Nov-22,603.95,603.95,591.65,592.55,"1,29,57,268",,,,,,,,
15-Nov-22,594.3,602.1,592.65,600.85,"1,02,86,417",,,,,,,,
16-Nov-22,599.95,603.5,596,599.75,"1,15,55,749",,,,,,,,
17-Nov-22,599.1,602.75,596.15,599.05,"81,67,131",,,,,,,,
18-Nov-22,601,605.75,597.15,602.7,"1,29,33,675",,,,,,,,
21-Nov-22,602.1,602.1,595.35,598.1,"74,12,419",,,,,,,,
22-Nov-22,598.15,600.7,596.15,599.1,"80,48,595",,,,,,,,
23-Nov-22,601.55,609.6,601,607.65,"1,24,35,924",,,,,,,,
24-Nov-22,609.75,611.3,605.8,609.35,"89,60,032",,,,,,,,
25-Nov-22,610.55,613.7,606.25,607.4,"99,94,513",,,,,,,,
28-Nov-22,605.6,610.9,602.35,608.6,"79,34,274",,,,,,,,
29-Nov-22,607.1,611.8,607.1,608.55,"69,42,919",,,,,,,,
30-Nov-22,608.5,611.4,598.4,602.45,"1,56,06,230",,,,,,,,
01-Dec-22,607.85,609.8,601.55,608.1,"1,42,09,313",,,,,,,,
02-Dec-22,607.5,609.6,604.25,607.55,"75,33,838",,,,,,,,
05-Dec-22,608.5,618,607.55,617.3,"1,15,85,602",,,,,,,,
06-Dec-22,614.75,619.8,607.8,608.95,"1,29,96,244",,,,,,,,
07-Dec-22,610.85,612.9,604.5,607.05,"76,13,892",,,,,,,,
08-Dec-22,609.75,613.8,607.15,611.65,"1,00,20,015",,,,,,,,
09-Dec-22,614.4,618,609.1,616.5,"1,12,02,267",,,,,,,,
12-Dec-22,614.8,618.7,611,613.05,"92,85,187",,,,,,,,
13-Dec-22,613.5,617.4,612.5,616.75,"74,55,415",,,,,,,,
14-Dec-22,618.5,626.75,617.5,625.5,"1,40,10,673",,,,,,,,
15-Dec-22,625.55,629.55,614.3,615.95,"1,06,22,271",,,,,,,,
16-Dec-22,612,615.6,602.1,603.35,"94,35,071",,,,,,,,
19-Dec-22,604,609.5,603,604.45,"83,22,012",,,,,,,,
20-Dec-22,603,606.5,599.55,604.45,"67,53,785",,,,,,,,
21-Dec-22,605.9,609.15,589.6,593.4,"92,17,253",,,,,,,,
22-Dec-22,597,599,587.55,593.4,"87,40,149",,,,,,,,
23-Dec-22,590,590.7,571.5,574,"1,30,47,046",,,,,,,,
26-Dec-22,574,601.7,570.7,597.1,"1,32,01,587",,,,,,,,
27-Dec-22,600.4,603.1,593.3,601.9,"96,38,618",,,,,,,,
28-Dec-22,600.9,607,598.55,601.05,"79,88,631",,,,,,,,
29-Dec-22,600,618,597.15,611.8,"2,01,30,392",,,,,,,,
30-Dec-22,615.25,620.55,611.35,613.7,"1,30,52,895",,,,,,,,
02-Jan-23,614.95,619.2,611.2,612.2,"67,26,084",,,,,,,,
03-Jan-23,614.5,616.6,610,612.4,"68,18,062",,,,,,,,
04-Jan-23,611.85,614.95,604,605.2,"70,11,191",,,,,,,,
05-Jan-23,607,611.6,601.95,605.1,"82,41,475",,,,,,,,
06-Jan-23,607.4,607.45,597,600.65,"79,72,036",,,,,,,,
09-Jan-23,605,609,600.1,607.7,"88,78,905",,,,,,,,
10-Jan-23,608.45,609,590.6,595.15,"1,06,22,660",,,,,,,,
11-Jan-23,596.45,599.5,592.25,596.7,"74,19,630",,,,,,,,
12-Jan-23,597.9,597.9,590.1,594.9,"81,83,715",,,,,,,,
13-Jan-23,597.9,602.9,593.65,600.1,"78,77,610",,,,,,,,
16-Jan-23,603,606.1,600.6,603,"54,83,191",,,,,,,,
17-Jan-23,603,606,586.05,592.95,"1,34,61,999",,,,,,,,
18-Jan-23,595.9,597.15,587.6,591.45,"1,15,38,075",,,,,,,,
19-Jan-23,591,591.75,587.55,589.85,"74,75,688",,,,,,,,
20-Jan-23,593.8,596.6,590.8,592.2,"67,50,607",,,,,,,,
23-Jan-23,598.5,601.75,592.95,600.45,"66,04,469",,,,,,,,
24-Jan-23,603.5,604.6,593.05,594.35,"76,09,623",,,,,,,,
25-Jan-23,595.85,595.85,567.4,568.7,"2,56,86,294",,,,,,,,
27-Jan-23,568,568.55,532.25,539.95,"4,01,63,464",,,,,,,,
30-Jan-23,536,554.35,525.2,538.2,"4,07,97,825",,,,,,,,
31-Jan-23,545,557,537.85,553.5,"2,19,11,943",,,,,,,,
01-Feb-23,561.4,565,499.35,527.35,"3,82,18,810",,,,,,,,
02-Feb-23,520.2,532.65,502.5,528.1,"3,92,87,056",,,,,,,,
03-Feb-23,536,545.95,519.15,544.2,"3,23,17,232",,,,,,,,
06-Feb-23,558.8,558.8,536.55,545.4,"2,53,38,586",,,,,,,,
07-Feb-23,548,551.4,541.05,547.1,"1,61,95,947",,,,,,,,
08-Feb-23,550,554.5,545.5,549.75,"1,55,02,847",,,,,,,,
09-Feb-23,552,552,542.8,550.8,"1,50,61,047",,,,,,,,
10-Feb-23,546.5,557.25,546.5,553.05,"1,38,24,475",,,,,,,,
13-Feb-23,554,556.9,533.3,537.5,"1,84,88,732",,,,,,,,
14-Feb-23,539.95,544.6,530.75,540.85,"1,85,59,909",,,,,,,,
15-Feb-23,540,544.65,536.8,542.25,"1,27,96,579",,,,,,,,
16-Feb-23,546.85,546.85,538.5,540.1,"1,27,67,016",,,,,,,,
17-Feb-23,538.5,539.65,527.75,531,"1,41,92,008",,,,,,,,
20-Feb-23,532,533.95,522.15,525.15,"1,25,70,032",,,,,,,,
21-Feb-23,527.1,528.95,522.4,523.45,"1,02,23,218",,,,,,,,
22-Feb-23,520.75,521.9,512.5,516.35,"1,47,63,050",,,,,,,,
23-Feb-23,516.95,524,511.35,521,"1,55,35,085",,,,,,,,
24-Feb-23,524.2,527.5,517.6,521.05,"1,22,53,035",,,,,,,,
27-Feb-23,521.1,529.8,519,527.7,"1,10,48,799",,,,,,,,
28-Feb-23,527.25,528.45,521.05,522.8,"1,57,68,010",,,,,,,,
01-Mar-23,523.25,537.4,523.1,536.7,"1,35,10,198",,,,,,,,
02-Mar-23,535.95,539.9,532.5,533.75,"1,03,76,913",,,,,,,,
03-Mar-23,542,564.3,541.75,561.2,"2,76,56,538",,,,,,,,
06-Mar-23,564.9,567.9,559,561.7,"1,61,62,268",,,,,,,,
08-Mar-23,560,565.5,556.45,564.8,"1,26,37,578",,,,,,,,
09-Mar-23,564.75,565.75,558,558.9,"89,93,423",,,,,,,,
10-Mar-23,553.1,554.95,545,547.35,"1,15,22,371",,,,,,,,
13-Mar-23,547,553.15,528.45,530,"1,43,73,729",,,,,,,,
